qls_unit_id,unit_collection_pt_timestamp,collection_point_id,concern_id,zone_charged_id
98549320,2020-05-27 08:10:15.0,45,54,74
98645520,2020-05-27 08:18:36.0,84,203,58
98679220,2020-05-27 08:26:30.0,69,164,54
98685720,2020-05-27 08:38:18.0,127,138,73
98731020,2020-05-27 08:48:39.0,63,131,64
98695920,2020-05-27 08:06:39.0,99,164,54
98736920,2020-05-27 09:02:09.0,61,37,29
98660920,2020-05-27 09:19:36.0,93,25,57
98464320,2020-05-27 09:38:47.0,87,25,73
98658620,2020-05-27 09:46:03.0,85,54,74
98750220,2020-05-27 09:50:59.0,61,131,64
98683920,2020-05-27 10:02:16.0,85,54,74
98724720,2020-05-27 10:06:19.0,60,110,17
98670220,2020-05-27 09:22:03.0,43,37,4
98662020,2020-05-27 10:12:58.0,17,20,33
98662020,2020-05-27 10:25:48.0,84,25,72
98698020,2020-05-27 10:32:12.0,83,25,73
98698020,2020-05-27 10:32:12.0,83,25,74
98683420,2020-05-27 10:29:59.0,99,164,54
98679420,2020-05-27 10:13:21.0,104,138,33
98689820,2020-05-27 10:32:23.0,93,25,57
98670620,2020-05-27 08:23:53.0,17,47,70
98696220,2020-05-27 10:59:49.0,85,32,74
98752420,2020-05-27 11:15:33.0,61,131,64
98655420,2020-05-27 10:49:44.0,43,131,40
98666020,2020-05-27 11:06:19.0,84,25,74
98704720,2020-05-27 10:47:14.0,126,164,72
98660120,2020-05-27 11:16:47.0,127,138,73
98750120,2020-05-27 11:25:54.0,61,37,64
98750620,2020-05-27 11:29:23.0,61,37,64
98750620,2020-05-27 11:29:23.0,61,131,64
98744920,2020-05-27 11:33:00.0,62,37,2
98744920,2020-05-27 11:33:00.0,62,37,2
98752320,2020-05-27 11:36:45.0,61,131,64
98755120,2020-05-27 11:33:18.0,62,42,2
98681820,2020-05-27 11:25:41.0,83,25,73
98692220,2020-05-27 09:19:47.0,45,130,2
98685720,2020-05-27 11:47:51.0,104,164,33
98752320,2020-05-27 11:54:52.0,62,37,2
98746220,2020-05-27 12:28:13.0,63,103,64
98697920,2020-05-27 12:33:20.0,85,20,74
98684920,2020-05-27 12:28:06.0,128,164,74
98684920,2020-05-27 12:28:09.0,128,164,74
98747820,2020-05-27 12:39:18.0,64,42,2
98744220,2020-05-27 12:39:36.0,63,37,2
98746320,2020-05-27 12:39:43.0,62,37,2
98743320,2020-05-27 12:39:57.0,62,37,2
98748820,2020-05-27 12:45:33.0,61,131,64
98737120,2020-05-27 12:53:58.0,67,24,62
98737120,2020-05-27 12:53:58.0,67,200,29
98737120,2020-05-27 12:53:58.0,67,37,2
98684420,2020-05-27 12:11:22.0,17,20,33
98689820,2020-05-27 10:59:20.0,17,80,57
98693020,2020-05-27 11:56:31.0,43,22,70
98684920,2020-05-27 12:16:31.0,128,164,74
98684920,2020-05-27 12:16:39.0,128,164,74
98684920,2020-05-27 12:27:36.0,128,164,74
98619320,2020-05-27 13:42:30.0,28,47,64
98690020,2020-05-27 12:44:23.0,104,164,33
98747120,2020-05-27 13:44:28.0,61,131,64
98680520,2020-05-27 13:37:20.0,43,22,70
98666320,2020-05-27 13:38:32.0,43,22,70
98703820,2020-05-27 14:05:55.0,83,25,73
97996620,2020-05-27 14:02:35.0,50,25,71
98684920,2020-05-27 14:37:16.0,85,20,74
98698020,2020-05-27 13:52:50.0,84,203,58
98645220,2020-05-27 13:44:06.0,126,164,72
98588920,2020-05-27 13:48:00.0,126,164,72
98609120,2020-05-27 14:46:44.0,104,164,33
98690020,2020-05-27 14:50:03.0,17,203,57
98690020,2020-05-27 14:50:03.0,17,203,57
98651820,2020-05-27 14:08:32.0,46,164,74
98648720,2020-05-27 14:44:53.0,45,130,74
98651520,2020-05-27 14:12:51.0,104,164,33
98622920,2020-05-27 10:20:22.0,43,37,4
98651520,2020-05-27 10:09:31.0,79,54,72
98671020,2020-05-27 15:49:11.0,29,59,54
98623820,2020-05-27 15:58:54.0,17,22,70
98662020,2020-05-27 15:59:46.0,45,37,4
98717120,2020-05-27 15:59:40.0,127,138,73
98704920,2020-05-27 14:49:22.0,17,47,74
98688420,2020-05-27 16:25:16.0,29,21,1
98688420,2020-05-27 16:25:16.0,29,114,22
98716820,2020-05-27 16:16:03.0,128,22,74
98754220,2020-05-27 14:22:45.0,32,259,2
98649220,2020-05-27 15:51:14.0,43,130,57
98622920,2020-05-27 10:20:22.0,43,22,70
98697920,2020-05-27 16:43:39.0,43,130,70
98703820,2020-05-27 16:31:18.0,43,166,57
98684420,2020-05-27 14:51:41.0,43,115,3
98436720,2020-05-27 16:19:46.0,125,25,57
98669220,2020-05-27 11:37:17.0,79,130,2
98645220,2020-05-27 14:57:17.0,79,164,72
98688420,2020-05-27 08:12:13.0,45,130,74
98713920,2020-05-27 08:39:19.0,57,4,22
98748120,2020-05-27 08:50:45.0,61,131,64
98695920,2020-05-27 08:06:41.0,99,164,54
98695920,2020-05-27 08:06:43.0,99,164,54
98695920,2020-05-27 08:06:35.0,99,164,54
98695920,2020-05-27 08:06:32.0,99,164,54
98663220,2020-05-27 08:47:59.0,45,21,74
98736920,2020-05-27 09:13:28.0,63,37,29
98690720,2020-05-27 08:09:12.0,126,164,72
98690720,2020-05-27 08:09:10.0,126,164,72
98668720,2020-05-27 08:19:03.0,126,164,72
98668720,2020-05-27 08:19:02.0,126,164,72
98668720,2020-05-27 08:18:57.0,126,164,72
98694520,2020-05-27 08:41:42.0,43,216,73
98683320,2020-05-27 08:21:42.0,126,164,72
98683320,2020-05-27 08:21:40.0,126,164,72
98704920,2020-05-27 08:25:33.0,126,164,72
98749420,2020-05-27 09:27:16.0,64,42,2
98696720,2020-05-27 08:53:25.0,104,164,33
98696720,2020-05-27 08:53:33.0,104,164,33
98689320,2020-05-27 08:47:56.0,43,131,40
98736220,2020-05-27 09:50:36.0,62,131,2
98661020,2020-05-27 08:23:55.0,104,138,33
98691820,2020-05-27 10:22:00.0,60,114,22
98668120,2020-05-27 10:28:35.0,85,20,74
98683920,2020-05-27 10:13:34.0,106,138,33
98662020,2020-05-27 10:41:16.0,84,25,72
98691320,2020-05-27 10:46:22.0,69,130,54
98637620,2020-05-27 10:58:26.0,50,25,58
98752420,2020-05-27 11:15:33.0,61,37,64
98745020,2020-05-27 11:16:42.0,64,37,64
98692120,2020-05-27 11:12:05.0,127,138,73
98749120,2020-05-27 11:23:05.0,62,37,2
98755120,2020-05-27 11:32:06.0,61,131,64
98630520,2020-05-27 10:36:59.0,43,130,70
98630520,2020-05-27 10:59:20.0,7,25,29
98749520,2020-05-27 09:06:11.0,32,37,2
98749620,2020-05-27 08:21:36.0,32,168,2
98743420,2020-05-27 11:15:17.0,32,259,61
98752320,2020-05-27 11:54:43.0,62,37,2
98752220,2020-05-27 11:55:04.0,62,37,2
98746320,2020-05-27 12:04:41.0,61,37,64
98604820,2020-05-27 12:13:58.0,85,20,74
98648620,2020-05-27 12:10:47.0,127,164,73
98670320,2020-05-27 12:20:57.0,85,20,74
98687020,2020-05-27 12:31:14.0,69,130,54
98670620,2020-05-27 11:07:22.0,43,166,57
98541020,2020-05-27 10:32:17.0,44,37,4
98684920,2020-05-27 12:28:11.0,128,164,74
98744220,2020-05-27 12:39:31.0,64,42,2
98747820,2020-05-27 12:40:13.0,62,37,2
98644520,2020-05-27 10:45:46.0,43,130,70
98671220,2020-05-27 10:44:15.0,43,216,73
98737120,2020-05-27 12:53:58.0,67,37,1
98737120,2020-05-27 12:53:58.0,67,37,62
98684420,2020-05-27 12:03:52.0,83,25,74
98689820,2020-05-27 11:19:19.0,46,104,57
